objectid,parentid,filename,title,format,filesize,date,description,destinations,location,latitude,longitude,type,language,rights,rightsstatement
hazel001journal,,hazel001journal.jpg,1954 Southeastern US Trip,multiple,1.2 MB,1954-02-01,Journal entry by Hazel describing her 41-day trip.,"Rogers, Arkansas, USA; DeQueen, Arkansas, USA; New Orleans, Louisiana, USA; Pensacola, Florida, USA; Tallahassee, Florida, USA; Clearwater, Florida, USA; St. Petersburg, Florida, USA; Key West, Florida, USA; Miami, Florida, USA; West Palm Beach, Florida, USA; Orlando, Florida, USA; Daytona, Florida, USA; St. Augustine, Florida, USA; Augusta, Georgia, USA; Asheville, North Carolina, USA; Moorhead, Kentucky, USA; Lexington, Kentucky, USA; Loogootee, Indiana, USA; St. Louis, Missouri, USA","Miami, Florida, USA",25.7616,-80.1917,Image;StillImage,eng,This material may be used for educational purposes only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes only. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
hazel002journal,,hazel002journal.jpg,1955 South Central US and Mexico Trip,multiple,401 KB,1955-02-15,Journal entry by Hazel describing her 39-day trip.,"Topeka, Kansas, USA; Bartlesville, Oklahoma, USA; Dallas, Texas, USA; Galveston, Texas, USA; Houston, Texas, USA; Corpus Christi, Texas, USA; Monterrey, Nuevo Leon, MEX; Zimapan, Hidalgo, MEX; Mexico City, MEX; Parral, Chihuahua, MEX; El Paso, Texas, USA; Carlsbad, New Mexico, USA; Denver, Colorado, USA; Lincoln, Nebraska, USA","Zacatacas, MEX",22.7728,-102.5766,Image;StillImage,eng,This material may be used for educational purposes only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes only. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
hazel003journal,,hazel003journal.jpg,1956 West and Southwest US Trip,multiple,1.1 MB,1956-02-27,Journal entry by Hazel describing her 48-day trip.,"Topeka, Kansas, USA; Perry, Oklahoma, USA; Fearwell, Texas, USA; Roswell, New Mexico, USA; Safford, Arizona, USA; Scottsdale, Arizona, USA; Mesa, Arizona, USA; Phoenix, Arizona, USA; El Centro, California, USA; San Diego, California, USA; Orange City, California, USA; Los Angeles, California, USA; San Francisco, California, USA; Sacramento, California, USA; Las Vegas, Nevada, USA; Albuquerque, New Mexico, USA; Liberal, Kansas, USA","Las Vegas, Nevada, USA",36.1716,-115.139,Image;StillImage,eng,This material may be used for educational purposes only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes only. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
hazel004journal,,hazel004journal.jpg,1957 North and Northwest US and Central Canada Trip,multiple,958 KB,1957-08-21,Journal entry by Hazel describing her 26-day trip.,"Winterset, Iowa, USA; Albert Lea, Minnesota, USA; St. Paul, Minnesota, USA; Velva, North Dakota, USA; Glacier National Park, Montana, USA; Banff National Park, Alberta, CAN; Calgary, Alberta, CAN; Newport, Washington, USA; Spokane, Washington, USA; Seattle, Washington, USA; Twin Falls, Idaho, USA; Yellowstone National Park, Wyoming, USA; Cheyenne, Wyoming, USA; Denver, Colorado, USA","Banff, Alberta, CAN",51.1784,-115.5708,Image;StillImage,eng,This material may be used for educational purposes only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes only. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
hazel005journal,,hazel005journal.jpg,1958 Iowa and Wisconsin Trip,multiple,1.3 MB,1958-09-06,Journal entry by Hazel describing her 10-day trip.,"Des Moines, Iowa, USA; Dubuque, Iowa, USA; Wisconsin Dells, Wisconsin, USA; Madison, Wisconsin, USA; Milwaukee, Wisconsin, USA","Milwaukee, Wisconsin, USA",43.0389,-87.9065,Image;StillImage,eng,This material may be used for educational purposes only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes only. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
hazel006journal,,hazel006journal.jpg,1959 North and South Dakota Trip,multiple,1 MB,1959-08-21,Journal entry by Hazel describing her 8-day trip.,"Mission, South Dakota, USA; Badlands, South Dakota, USA; Black Hills, South Dakota, USA; Mount Rushmore, South Dakota, USA; Deadwood, South Dakota, USA; Bismarck, North Dakota, USA; Jamestown, North Dakota, USA","Jamestown, North Dakota, USA",46.9062,-98.7073,Image;StillImage,eng,This material may be used for educational purposes only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes only. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
hazel007journal,,hazel007journal.jpg,1960 Red Oak Election Outing,multiple,877 KB,1960-11-08,Journal entry by Hazel describing her outing.,"Red Oak, Iowa, USA","Red Oak, Iowa, USA",41.0036,-95.2419,Image;StillImage,eng,This material may be used for educational purposes only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes only. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
hazel008journal,,hazel008journal.jpg,1961 Omaha Christmas Outing,multiple,1.1 MB,1961-12-06,Journal entry by Hazel describing her outing.,"Omaha, Nebraska, USA","Omaha, Nebraska, USA",41.2565,-95.9345,Image;StillImage,eng,This material may be used for educational purposes only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes only. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
hazel009journal,,hazel009journal.jpg,1962 South Central US Trip,multiple,995 KB,1962-02-22,Journal entry by Hazel describing her 48-day trip.,"Topeka, Kansas, USA; Perry, Oklahoma, USA; Temple, Texas, USA; Mission, Texas, USA; 
Houston, Texas, USA; Crowley, Louisiana, USA; New Orleans, Louisiana, USA; Memphis, Tennessee, USA","Crowley, Louisana, USA",30.2141,-92.3745,Image;StillImage,eng,This material may be used for educational purposes only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes only. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
hazel010journal,,hazel010journal.jpg,1963 Iowa and Wisconsin Trip,multiple,1 MB,1963-11-25,Journal entry by Hazel describing her 4-day trip.,"Cresco, Iowa, USA; Milwaukee, Wisconsin, USA; Iowa City, Iowa, USA; Kalona, Iowa, USA; Des Moines, Iowa, USA; Atlantic, Iowa, USA","Iowa City, Iowa, USA",41.6578,-91.5346,Image;StillImage,eng,This material may be used for educational purposes only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes only. ,http://rightsstatements.org/vocab/InC-EDU/1.0/
